,tanggal,pm10,so2,co,o3,no2,max,critical,categori
156,2010-06-06,59.0,18.0,47.0,42.0,25.0,59.0,PM10,SEDANG
157,2010-06-07,55.0,20.0,34.0,35.0,19.0,55.0,PM10,SEDANG
158,2010-06-08,60.0,17.0,38.0,59.0,17.0,60.0,PM10,SEDANG
159,2010-06-09,51.0,15.0,35.0,26.0,19.0,51.0,PM10,SEDANG
160,2010-06-10,69.0,27.0,41.0,71.0,24.0,71.0,O3,SEDANG
161,2010-06-11,49.0,14.0,30.0,26.0,12.0,49.0,PM10,BAIK
162,2010-06-12,25.0,14.0,24.0,24.0,9.0,25.0,PM10,BAIK
163,2010-06-13,59.0,15.0,64.0,29.0,15.0,64.0,CO,SEDANG
164,2010-06-14,55.0,22.0,31.0,29.0,14.0,55.0,PM10,SEDANG
165,2010-06-15,57.0,20.0,34.0,31.0,20.0,57.0,PM10,SEDANG
166,2010-06-16,55.0,17.0,71.0,27.0,38.0,71.0,CO,SEDANG
167,2010-06-17,75.0,21.0,71.0,30.0,29.0,75.0,PM10,SEDANG
168,2010-06-18,74.0,21.0,50.0,74.0,29.0,74.0,PM10,SEDANG
169,2010-06-19,59.0,14.0,37.0,71.0,26.0,71.0,O3,SEDANG
170,2010-06-20,49.0,15.0,23.0,28.0,9.0,49.0,PM10,BAIK
171,2010-06-21,51.0,18.0,31.0,28.0,13.0,51.0,PM10,SEDANG
172,2010-06-22,58.0,17.0,36.0,41.0,21.0,58.0,PM10,SEDANG
173,2010-06-23,64.0,17.0,32.0,41.0,23.0,64.0,PM10,SEDANG
174,2010-06-24,61.333333333333336,17.666666666666668,30.0,42.0,22.666666666666668,30.0,CO,BAIK
175,2010-06-25,58.66666667,18.33333333,30.0,43.0,22.33333333,58.66666667,pm10,SEDANG
176,2010-06-26,56.0,19.0,30.0,44.0,22.0,56.0,PM10,SEDANG
177,2010-06-27,69.0,18.0,46.0,55.0,25.0,69.0,PM10,SEDANG
178,2010-06-28,60.0,15.0,40.0,36.0,19.0,60.0,PM10,SEDANG
179,2010-06-29,65.0,17.0,34.0,33.0,14.0,65.0,PM10,SEDANG
180,2010-06-30,50.0,17.0,29.0,22.0,12.0,50.0,PM10,BAIK
181,2010-07-01,41.0,4.0,24.0,27.0,13.0,41.0,PM10,BAIK
182,2010-07-02,60.0,10.0,45.0,47.0,17.0,60.0,PM10,SEDANG
183,2010-07-03,59.0,7.0,46.0,57.0,19.0,59.0,PM10,SEDANG
184,2010-07-04,70.0,14.0,42.0,62.0,25.0,70.0,PM10,SEDANG
185,2010-07-05,67.0,19.0,33.0,33.0,16.0,67.0,PM10,SEDANG
186,2010-07-06,70.0,16.0,39.0,52.0,21.0,70.0,PM10,SEDANG
187,2010-07-07,63.0,19.0,37.0,37.0,20.0,63.0,PM10,SEDANG
188,2010-07-08,61.0,13.0,40.0,80.0,32.0,80.0,O3,SEDANG
189,2010-07-09,56.0,19.0,45.0,30.0,19.0,56.0,PM10,SEDANG
190,2010-07-10,50.0,17.0,42.0,80.0,30.0,80.0,O3,SEDANG
191,2010-07-11,36.0,13.0,21.0,25.0,11.0,36.0,PM10,BAIK
192,2010-07-12,25.0,14.0,23.0,22.0,6.0,25.0,PM10,BAIK
193,2010-07-13,66.0,15.0,36.0,33.0,21.0,66.0,PM10,SEDANG
194,2010-07-14,61.0,18.0,37.0,30.0,21.0,61.0,PM10,SEDANG
195,2010-07-15,63.0,17.0,31.0,31.0,15.0,63.0,PM10,SEDANG
196,2010-07-16,63.0,17.0,39.0,31.0,21.0,63.0,PM10,SEDANG
197,2010-07-17,81.0,20.0,41.0,43.0,23.0,81.0,PM10,SEDANG
198,2010-07-18,61.0,16.0,33.0,45.0,23.0,61.0,PM10,SEDANG
199,2010-07-19,53.0,14.0,35.0,37.0,21.0,53.0,PM10,SEDANG
200,2010-07-20,52.0,17.0,40.0,54.0,27.0,54.0,O3,SEDANG
201,2010-07-21,60.0,17.0,41.0,39.0,22.0,60.0,PM10,SEDANG
202,2010-07-22,62.0,18.0,39.0,60.0,22.0,62.0,PM10,SEDANG
203,2010-07-23,65.0,25.0,36.0,46.0,20.0,65.0,PM10,SEDANG
204,2010-07-24,55.0,17.0,30.0,45.0,17.0,55.0,PM10,SEDANG
205,2010-07-25,60.0,16.0,27.0,65.0,17.0,65.0,O3,SEDANG
206,2010-07-26,62.0,17.0,31.0,40.0,16.0,62.0,PM10,SEDANG
207,2010-07-27,49.0,13.0,31.0,29.0,11.0,49.0,PM10,BAIK
208,2010-07-28,57.0,22.0,44.0,59.0,24.0,59.0,O3,SEDANG
209,2010-07-29,63.0,14.0,40.0,38.0,20.0,63.0,PM10,SEDANG
210,2010-07-30,48.0,15.0,31.0,22.0,10.0,48.0,PM10,BAIK
211,2010-07-31,50.0,16.0,21.0,25.0,10.0,50.0,PM10,BAIK
212,2010-08-01,64.0,8.0,51.0,19.0,15.0,64.0,PM10,SEDANG
213,2010-08-02,46.0,5.0,31.0,42.0,17.0,46.0,PM10,BAIK
214,2010-08-03,56.0,7.0,37.0,39.0,18.0,56.0,PM10,SEDANG
215,2010-08-04,65.0,15.0,54.0,102.0,27.0,102.0,O3,TIDAK SEHAT
216,2010-08-05,57.0,16.0,24.0,26.0,9.0,57.0,PM10,SEDANG
